ticker,snapshot_date,price
SPY,2026-08-20,762.5999755859375
QQQ,2026-08-20,710.9299926757812
TSLA,2026-08-20,345.1300048828125
NVDA,2026-08-20,216.8500061035156
IBIT,2026-08-20,41.20000076293945
AAPL,2026-08-20,311.29998779296875
AMZN,2026-08-20,260.1099853515625
IWM,2026-08-20,297.6700134277344
MSFT,2026-08-20,481.1499938964844
META,2026-08-20,545.8300170898438
GOOGL,2026-08-20,340.6700134277344
SPY,2026-08-22,765.719970703125
QQQ,2026-08-22,713.4400024414062
TSLA,2026-08-22,362.8599853515625
NVDA,2026-08-22,214.72000122070312
IBIT,2026-08-22,43.68000030517578
AAPL,2026-08-22,309.3500061035156
AMZN,2026-08-22,258.6300048828125
IWM,2026-08-22,299.9599914550781
MSFT,2026-08-22,483.239990234375
META,2026-08-22,549.9000244140625
GOOGL,2026-08-22,344.82000732421875
SPY,2026-08-24,762.9299926757812
QQQ,2026-08-24,705.39501953125
TSLA,2026-08-24,357.6828918457031
NVDA,2026-08-24,209.2100067138672
IBIT,2026-08-24,45.09000015258789
AAPL,2026-08-24,311.8599853515625
AMZN,2026-08-24,261.79998779296875
IWM,2026-08-24,298.3800048828125
MSFT,2026-08-24,488.5549926757813
META,2026-08-24,553.9550170898438
GOOGL,2026-08-24,350.239990234375
SPY,2026-08-25,766.3474731445312
QQQ,2026-08-25,712.3511962890625
TSLA,2026-08-25,351.489990234375
NVDA,2026-08-25,212.3820037841797
IBIT,2026-08-25,44.71500015258789
AAPL,2026-08-25,310.7149963378906
AMZN,2026-08-25,262.5799865722656
IWM,2026-08-25,299.1000061035156
MSFT,2026-08-25,488.0
META,2026-08-25,567.3699951171875
GOOGL,2026-08-25,349.19000244140625
SPY,2026-08-26,766.635009765625
QQQ,2026-08-26,711.22998046875
SPX,2026-08-26,7684.919921875
TSLA,2026-08-26,348.20001220703125
NVDA,2026-08-26,211.8300018310547
IBIT,2026-08-26,44.505001068115234
AAPL,2026-08-26,312.4549865722656
AMZN,2026-08-26,261.07000732421875
TLT,2026-08-26,83.12999725341797
INTC,2026-08-26,86.58000183105469
IWM,2026-08-26,299.760009765625
MU,2026-08-26,935.22998046875
MSTR,2026-08-26,124.74579620361328
MSFT,2026-08-26,495.7099914550781
GLD,2026-08-26,424.2099914550781
VIX,2026-08-26,15.550000190734863
ETHA,2026-08-26,18.575000762939453
META,2026-08-26,575.4099731445312
SLV,2026-08-26,61.77999877929688
NFLX,2026-08-26,81.86499786376953
PFE,2026-08-26,28.315000534057617
SOFI,2026-08-26,19.174999237060547
COIN,2026-08-26,184.40499877929688
GOOGL,2026-08-26,343.6099853515625
PLTR,2026-08-26,174.58999633789062
SHOP,2026-08-26,152.25
XOM,2026-08-26,159.9550018310547
AMD,2026-08-26,486.1449890136719
BAC,2026-08-26,62.130001068115234
FIG,2026-08-26,27.01000022888184
RKLB,2026-08-26,67.54000091552734
SPCX,2026-08-26,138.02499389648438
SPY,2026-08-27,770.6199951171875
QQQ,2026-08-27,718.3900146484375
SPX,2026-08-27,7724.14990234375
TSLA,2026-08-27,352.2300109863281
NVDA,2026-08-27,227.47999572753903
IBIT,2026-08-27,45.630001068115234
AAPL,2026-08-27,314.625
AMZN,2026-08-27,256.489990234375
TLT,2026-08-27,83.19000244140625
INTC,2026-08-27,90.63150024414062
IWM,2026-08-27,299.9349975585937
MU,2026-08-27,912.22998046875
MSTR,2026-08-27,138.48500061035156
MSFT,2026-08-27,502.0899963378906
GLD,2026-08-27,421.9750061035156
VIX,2026-08-27,14.470000267028809
ETHA,2026-08-27,19.084999084472656
META,2026-08-27,574.0700073242188
SLV,2026-08-27,62.46500015258789
NFLX,2026-08-27,79.6500015258789
PFE,2026-08-27,28.155000686645508
SOFI,2026-08-27,19.295000076293945
COIN,2026-08-27,192.4900054931641
GOOGL,2026-08-27,341.010009765625
PLTR,2026-08-27,185.88999938964844
SHOP,2026-08-27,154.9949951171875
XOM,2026-08-27,157.2550048828125
AMD,2026-08-27,471.30999755859375
BAC,2026-08-27,61.775001525878906
FIG,2026-08-27,30.45499992370605
RKLB,2026-08-27,66.29000091552734
SPCX,2026-08-27,141.10000610351562
SPY,2026-08-28,774.8200073242188
QQQ,2026-08-28,723.5700073242188
SPX,2026-08-28,7767.259765625
TSLA,2026-08-28,354.19000244140625
NVDA,2026-08-28,226.1324005126953
IBIT,2026-08-28,45.04999923706055
AAPL,2026-08-28,320.760009765625
AMZN,2026-08-28,265.8699951171875
TLT,2026-08-28,83.38500213623047
INTC,2026-08-28,91.88999938964844
IWM,2026-08-28,298.1700134277344
MU,2026-08-28,941.72998046875
MSTR,2026-08-28,132.89500427246094
MSFT,2026-08-28,514.978515625
GLD,2026-08-28,419.7300109863281
VIX,2026-08-28,14.239999771118164
ETHA,2026-08-28,18.95009994506836
META,2026-08-28,586.1400146484375
SLV,2026-08-28,63.17839813232422
NFLX,2026-08-28,82.16000366210938
PFE,2026-08-28,27.871000289916992
SOFI,2026-08-28,18.825000762939453
COIN,2026-08-28,186.2308044433593
GOOGL,2026-08-28,348.489990234375
PLTR,2026-08-28,186.6699981689453
SHOP,2026-08-28,156.3000030517578
XOM,2026-08-28,155.8300018310547
AMD,2026-08-28,477.1900024414063
BAC,2026-08-28,62.27000045776367
FIG,2026-08-28,29.90999984741211
RKLB,2026-08-28,65.4738998413086
SPCX,2026-08-28,142.88999938964844
SPY,2026-08-31,766.35302734375
QQQ,2026-08-31,715.77001953125
SPX,2026-08-31,7681.1298828125
TSLA,2026-08-31,359.0799865722656
NVDA,2026-08-31,218.35499572753903
IBIT,2026-08-31,44.07500076293945
AAPL,2026-08-31,317.7049865722656
AMZN,2026-08-31,262.1600036621094
TLT,2026-08-31,82.2750015258789
INTC,2026-08-31,90.43000030517578
IWM,2026-08-31,293.7200012207031
MU,2026-08-31,946.6599731445312
MSTR,2026-08-31,127.44000244140624
MSFT,2026-08-31,510.2049865722656
GLD,2026-08-31,405.5199890136719
VIX,2026-08-31,15.350000381469728
ETHA,2026-08-31,18.434999465942383
META,2026-08-31,573.8300170898438
SLV,2026-08-31,60.02000045776367
NFLX,2026-08-31,81.1500015258789
PFE,2026-08-31,27.825000762939453
SOFI,2026-08-31,17.61989974975586
COIN,2026-08-31,177.5850067138672
GOOGL,2026-08-31,341.06988525390625
PLTR,2026-08-31,185.4349975585937
SHOP,2026-08-31,145.6999969482422
XOM,2026-08-31,160.77499389648438
AMD,2026-08-31,470.3301086425781
BAC,2026-08-31,62.20500183105469
FIG,2026-08-31,27.39999961853028
RKLB,2026-08-31,63.4900016784668
SPCX,2026-08-31,141.97999572753906
SPY,2026-09-01,764.3300170898438
QQQ,2026-09-01,709.5650024414062
SPX,2026-09-01,7659.52978515625
TSLA,2026-09-01,359.5799865722656
NVDA,2026-09-01,217.9100036621093
IBIT,2026-09-01,44.32500076293945
AAPL,2026-09-01,324.81500244140625
AMZN,2026-09-01,254.67999267578125
TLT,2026-09-01,82.27989959716797
INTC,2026-09-01,86.81999969482422
IWM,2026-09-01,292.4349975585937
MU,2026-09-01,938.72998046875
MSTR,2026-09-01,128.75
MSFT,2026-09-01,504.1900024414063
GLD,2026-09-01,400.6174926757813
VIX,2026-09-01,15.539999961853027
ETHA,2026-09-01,18.489999771118164
META,2026-09-01,570.7949829101562
SLV,2026-09-01,58.68000030517578
NFLX,2026-09-01,82.08000183105469
PFE,2026-09-01,28.780000686645508
SOFI,2026-09-01,17.501399993896484
COIN,2026-09-01,182.3099975585937
GOOGL,2026-09-01,336.82501220703125
PLTR,2026-09-01,186.0749969482422
SHOP,2026-09-01,144.16000366210938
XOM,2026-09-01,163.05999755859375
AMD,2026-09-01,454.1636047363281
BAC,2026-09-01,62.63999938964844
FIG,2026-09-01,28.26000022888184
RKLB,2026-09-01,62.21500015258789
SPCX,2026-09-01,143.88999938964844
SPY,2026-09-02,763.9500732421875
QQQ,2026-09-02,706.9500122070312
SPX,2026-09-02,7656.43017578125
TSLA,2026-09-02,351.3699951171875
NVDA,2026-09-02,222.5850067138672
IBIT,2026-09-02,43.744998931884766
AAPL,2026-09-02,324.3099975585937
AMZN,2026-09-02,255.5200958251953
TLT,2026-09-02,81.95030212402344
INTC,2026-09-02,88.29499816894531
IWM,2026-09-02,293.20001220703125
MU,2026-09-02,938.989990234375
MSTR,2026-09-02,124.27989959716795
MSFT,2026-09-02,498.1900939941406
GLD,2026-09-02,403.010009765625
VIX,2026-09-02,15.90999984741211
ETHA,2026-09-02,18.160499572753903
META,2026-09-02,599.2050170898438
SLV,2026-09-02,59.21500015258789
NFLX,2026-09-02,82.41500091552734
PFE,2026-09-02,28.89119911193848
SOFI,2026-09-02,17.594999313354492
COIN,2026-09-02,178.0928955078125
GOOGL,2026-09-02,337.6199951171875
PLTR,2026-09-02,174.3300018310547
SHOP,2026-09-02,140.4149932861328
XOM,2026-09-02,163.1300048828125
AMD,2026-09-02,455.75
BAC,2026-09-02,62.72499847412109
FIG,2026-09-02,26.549999237060547
RKLB,2026-09-02,63.025001525878906
SPCX,2026-09-02,139.52499389648438
SPY,2026-09-03,767.9400024414062
QQQ,2026-09-03,711.6599731445312
SPX,2026-09-03,7695.509765625
TSLA,2026-09-03,376.1099853515625
NVDA,2026-09-03,228.2098999023437
IBIT,2026-09-03,44.720001220703125
AAPL,2026-09-03,327.1050109863281
AMZN,2026-09-03,257.3900146484375
TLT,2026-09-03,82.18000030517578
INTC,2026-09-03,88.7750015258789
IWM,2026-09-03,293.79998779296875
MU,2026-09-03,934.9906005859376
MSTR,2026-09-03,134.19000244140625
MSFT,2026-09-03,511.489990234375
GLD,2026-09-03,409.489990234375
VIX,2026-09-03,15.100000381469728
ETHA,2026-09-03,18.395000457763672
META,2026-09-03,610.9998168945312
SLV,2026-09-03,59.89759826660156
NFLX,2026-09-03,82.58000183105469
PFE,2026-09-03,28.63500022888184
SOFI,2026-09-03,18.114999771118164
COIN,2026-09-03,187.0399932861328
GOOGL,2026-09-03,341.95001220703125
PLTR,2026-09-03,185.14010620117188
SHOP,2026-09-03,143.4550018310547
XOM,2026-09-03,164.51499938964844
AMD,2026-09-03,446.7000122070313
BAC,2026-09-03,62.6150016784668
FIG,2026-09-03,26.13999938964844
